index,null_percent,mean_fixation_duration,fixation_rate,Hs,Ht,N_unique_seq_3,count_of_most_seq_3,N_unique_seq_more_than_2_times_3,mean_repetition_3,N_unique_seq_4,count_of_most_seq_4,N_unique_seq_more_than_2_times_4,mean_repetition_4,N_unique_seq_5,count_of_most_seq_5,N_unique_seq_more_than_2_times_5,mean_repetition_5,N_unique_seq_6,count_of_most_seq_6,N_unique_seq_more_than_2_times_6,mean_repetition_6,pID,group,trial
21,0.08854929872304794,0.7900474427480856,0.8452109778221288,1.974873199028577,1.1627327154252858,38,0.2248062015503876,15,7.066666666666666,59,0.1953125,13,6.3076923076923075,71,0.14960629921259844,11,6.090909090909091,82,0.12698412698412698,10,5.4,001,2,2
22,0.02110286320254507,0.7410118169934657,1.000138574755858,2.171284529960576,1.5097721033153104,46,0.09933774834437085,21,6.0,73,0.06,31,3.4838709677419355,104,0.040268456375838924,29,2.5517241379310347,129,0.02027027027027027,17,2.1176470588235294,002,2,2
25,0.09497025419145484,1.1648374767442085,0.5734226458218286,2.1627580441025183,1.3158553209081614,32,0.16666666666666666,14,4.714285714285714,47,0.0963855421686747,14,3.5714285714285716,59,0.08536585365853659,11,3.090909090909091,67,0.04938271604938271,9,2.5555555555555554,005,2,2
26,0.06499640620186878,1.3328151999999995,0.5696416760179678,2.001587078927198,1.2376805826444548,27,0.20454545454545456,16,4.8125,39,0.12643678160919541,18,3.6666666666666665,49,0.09302325581395349,18,3.0555555555555554,58,0.058823529411764705,18,2.5,006,2,2
29,0.19852861625013524,0.5524111526717574,0.8742855993796074,2.2865365820331482,1.6763246033511618,56,0.10077519379844961,23,4.173913043478261,86,0.078125,18,3.3333333333333335,99,0.06299212598425197,15,2.8666666666666667,107,0.047619047619047616,11,2.727272727272727,009,2,2
31,0.0612094395280236,1.7258209710145105,0.4480930736850875,2.061879324580564,1.295266404216272,32,0.1791044776119403,12,3.9166666666666665,41,0.16666666666666666,8,4.125,47,0.13846153846153847,4,5.5,50,0.125,3,5.666666666666667,011,2,2
32,0.037713548941656815,0.7907028222222237,0.8950662753481112,2.456585058002604,1.8619235702308854,66,0.10526315789473684,27,3.4814814814814814,97,0.06060606060606061,16,3.1875,112,0.05343511450381679,7,3.7142857142857144,119,0.038461538461538464,4,3.75,014,2,2
33,0.15024965955515207,0.7062337200000138,0.8742269054114603,2.277962630352213,1.5912815625481405,55,0.13821138211382114,20,4.4,79,0.10655737704918032,14,4.071428571428571,93,0.08264462809917356,11,3.5454545454545454,100,0.06666666666666667,10,3.0,015,2,2
34,0.04661581305242765,0.8597150672268853,0.8881852073649366,2.2344963671556224,1.6454877235439151,47,0.1111111111111111,27,3.5925925925925926,77,0.0603448275862069,21,2.857142857142857,98,0.043478260869565216,11,2.5454545454545454,107,0.02631578947368421,5,2.4,016,2,2
35,0.1600609756097561,0.6157633800000061,1.006773910460884,2.2231961855289093,1.5315680585117466,54,0.14189189189189189,26,4.615384615384615,82,0.08843537414965986,26,3.5,111,0.0684931506849315,19,2.8421052631578947,131,0.041379310344827586,7,3.0,017,2,2
